var,method,original (MB),compressed (MB),compression_ratio,encoding (MB/s),decoding (MB/s),,,method,Size (MB),Compression Ratio,encoding (MB/s),decoding (MB/s)
HGT,blosc,82.74,2.32,0.03,44.49,282.6,,,,,,,
HGT,fpzip,82.74,0.49,0.01,87.94,104.89,,,blosc,130.09,0.52,44.49,282.6
HGT,lz4,82.74,1.7,0.02,321.06,285.64,,,fpzip,76.14,0.31,87.94,104.89
HGT,zfpy,82.74,29.52,0.36,89.79,278.92,,,lz4,167.98,0.67,321.06,285.64
HGT,zlib,82.74,1.96,0.02,38.55,134.9,,,zfpy,126.46,0.51,89.79,278.92
U10,blosc,82.74,64.54,0.78,44.49,282.6,,,zlib,150.71,0.61,38.55,134.9
U10,fpzip,82.74,38.44,0.46,87.94,104.89,,,,,,,
U10,lz4,82.74,83.08,1,321.06,285.64,,,,,,,
U10,zfpy,82.74,48.81,0.59,89.79,278.92,,,,,,,
U10,zlib,82.74,74.8,0.9,38.55,134.9,,,,,,,
V10,blosc,82.74,63.1,0.76,44.49,282.6,,,,,,,
V10,fpzip,82.74,37.09,0.45,87.94,104.89,,,,,,,
V10,lz4,82.74,83.08,1,321.06,285.64,,,,,,,
V10,zfpy,82.74,48,0.58,89.79,278.92,,,,,,,
V10,zlib,82.74,73.83,0.89,38.55,134.9,,,,,,,
glob,blosc,248.92,130.09,0.52,44.49,282.6,,,,,,,
glob,fpzip,248.92,76.14,0.31,87.94,104.89,,,,,,,
glob,lz4,248.92,167.98,0.67,321.06,285.64,,,,,,,
glob,zfpy,248.92,126.46,0.51,89.79,278.92,,,,,,,
glob,zlib,248.92,150.71,0.61,38.55,134.9,,,,,,,
